Gen	t_n6	t_n7	t_n8	t_n9	mu	sigma2	r_n1	r_n2	r_n3	r_n4	r_n5	r_n7	r_n8	r_n9	lnL
2450	10.8813368	8.6380340	2.4565058	0.5779348	0.0111587	0.1559065	0.0042238	0.0254909	0.0336122	0.1004359	0.0544566	0.0131397	0.0608351	0.0377638	-3.357
2460	11.0994649	10.2475872	2.1499267	0.7465973	0.0264933	0.0668340	0.0195585	0.0367667	0.0284703	0.0555640	0.0736754	0.0204833	0.0618312	0.0463799	-5.678
2470	11.2049826	9.4867440	1.9338976	0.9508856	0.0204346	0.0538647	0.0046262	0.0415760	0.0366981	0.0628320	0.0821997	0.0219403	0.0516514	0.0503001	-1.787
2480	10.0822692	6.6839314	1.6908901	1.2122411	0.0173131	0.2241881	0.0043636	0.0262383	0.0447427	0.0460699	0.0428042	0.0274949	0.0831735	0.0799740	-2.196
2490	9.5619906	6.5135183	1.3030068	0.8711586	0.0089096	0.2259031	0.0020219	0.0456007	0.0555628	0.0337622	0.0523919	0.0225522	0.0662847	0.0611194	-3.662
2500	11.5812408	9.9632166	2.2602641	2.4431819	0.0145749	0.1268823	0.0018306	0.0372933	0.0350602	0.0436036	0.0246046	0.0118629	0.0469403	0.0523104	-3.027
2510	9.5944175	6.7988168	1.1055281	0.9507423	0.0301728	0.0905520	0.0136361	0.0996517	0.0913647	0.0685113	0.0440263	0.0262320	0.0655051	0.0835715	-7.215
2520	8.8639294	8.7531541	0.8401879	1.4304456	0.0368271	0.0406540	0.0125352	0.0524920	0.0465817	0.0401310	0.0429939	0.0357598	0.0572681	0.0632835	-3.582
2530	9.8064436	9.2886033	1.3445978	1.1786251	0.0130535	0.0825191	0.0046247	0.0415666	0.0368864	0.0267134	0.0284655	0.0135539	0.0536826	0.0467456	-2.604
2540	9.3687486	8.9552717	0.4239830	1.7999071	0.0200941	0.2444930	0.0031359	0.0659725	0.0873340	0.0215746	0.0557825	0.0208643	0.0448149	0.0501994	-6.481
2550	11.8422370	11.6167026	1.3278732	1.6233971	0.0172045	0.0755105	0.0145584	0.0438996	0.0687131	0.0464139	0.0433888	0.0165064	0.0321286	0.0377790	-4.245
2560	9.9333493	8.2703252	0.8343434	1.1427459	0.0510833	0.0911240	0.0064997	0.0784154	0.0757503	0.0543268	0.0363233	0.0798613	0.0671719	0.0591489	-4.325
2570	11.8119139	11.7569144	2.9997673	3.0835768	0.0264719	0.0620412	0.0098893	0.0245519	0.0280280	0.0181054	0.0221330	0.0273955	0.0457331	0.0408166	-2.562
2580	8.6440983	7.3659572	1.3675728	1.6015943	0.0307234	0.2594510	0.0024463	0.0430547	0.0728456	0.0249916	0.0492624	0.0453470	0.0649858	0.0784761	-2.398
2590	9.2266792	8.3002867	1.0958836	2.0794808	0.0228595	0.0679895	0.0173311	0.0379932	0.0603012	0.0417860	0.0228634	0.0308663	0.0353938	0.0595820	-5.682
2600	10.1706832	9.8578923	1.2219821	1.5556115	0.0353266	0.1949321	0.0043808	0.0452220	0.0435343	0.0460758	0.0401109	0.0293052	0.0451013	0.0398626	-2.448
2610	11.3224158	11.2333295	1.5543420	1.9508943	0.0351065	0.0335047	0.0151406	0.0449403	0.0524970	0.0356141	0.0282906	0.0372693	0.0421771	0.0481431	-2.975
2620	8.1536290	8.0894752	1.9361808	0.9434823	0.0487501	0.0687951	0.0210561	0.0449227	0.0302893	0.0647984	0.0894578	0.0517534	0.0629755	0.0601051	-3.962
2630	9.7272618	9.4906338	1.1400230	1.9042081	0.0420140	0.0428169	0.0246170	0.0451234	0.0507170	0.0262335	0.0194904	0.0446024	0.0444433	0.0338311	-6.842
2640	8.5798416	8.3711261	1.4737597	2.5204087	0.0476327	0.0247202	0.0279091	0.0386417	0.0535848	0.0297418	0.0283671	0.0505672	0.0568863	0.0513590	-6.330
2650	11.8882989	11.5991011	3.2186973	2.8055276	0.0343768	0.0653666	0.0138245	0.0165645	0.0138075	0.0214648	0.0301229	0.0364946	0.0361415	0.0359126	-6.365
2660	11.0163929	10.7484053	3.0136989	2.4731717	0.0285602	0.1819536	0.0033456	0.0178755	0.0240262	0.0231637	0.0199517	0.0257449	0.0464028	0.0458115	-1.159
2670	8.9634373	7.5285247	2.3663970	2.3306535	0.0341516	0.1901775	0.0166257	0.0170863	0.0449580	0.0277986	0.0149214	0.0268784	0.0661567	0.0565504	-5.500
2680	11.8897378	9.8134174	3.0926866	2.5301141	0.0250470	0.2159634	0.0023262	0.0361078	0.0146827	0.0256071	0.0217900	0.0246916	0.0750516	0.0617336	-2.433
2690	10.2369794	8.9891857	2.2903464	1.0775877	0.0156541	0.2126684	0.0060667	0.0556561	0.0433802	0.0347848	0.0264670	0.0213911	0.0567093	0.0554393	-8.819
2700	9.0339902	8.4959652	1.2655732	0.4015395	0.0288010	0.1196382	0.0066496	0.0412501	0.0491568	0.1640270	0.1388299	0.0310385	0.0694295	0.0677169	-2.266
2710	8.2580272	8.1479294	1.4950772	0.3670498	0.0315072	0.1972085	0.0079888	0.0451261	0.0260730	0.1794397	0.1570191	0.0339550	0.0567789	0.0405952	-3.038
2720	11.6100506	11.4552628	2.9549402	0.4218631	0.0224106	0.1922671	0.0141559	0.0231461	0.0243647	0.1376319	0.1116849	0.0241516	0.0505118	0.0451333	-3.262
2730	10.2907457	9.8817050	3.0643116	0.4905368	0.0228112	0.1122471	0.0087045	0.0206099	0.0284795	0.1240003	0.1294696	0.0258860	0.0490851	0.0503936	-2.717
2740	8.0673246	7.1870032	1.9447350	1.3144273	0.0365227	0.1237664	0.0100890	0.0486768	0.0377936	0.0572813	0.0567991	0.0480934	0.0717610	0.0501750	-5.143
2750	10.0357201	9.9018576	3.8615498	1.9486472	0.0263739	0.1180286	0.0206575	0.0164823	0.0201995	0.0380084	0.0409406	0.0256667	0.0476163	0.0475844	-6.095
2760	8.1276990	8.0192869	2.3069013	0.7736253	0.0325653	0.1221279	0.0116366	0.0261355	0.0166548	0.1008433	0.0628977	0.0316921	0.0656205	0.0487470	-2.651
2770	11.3747335	9.3443970	2.4449666	0.9983424	0.0286035	0.0790511	0.0068309	0.0188567	0.0164840	0.0543278	0.0556353	0.0383356	0.0341937	0.0321256	-8.140
2780	9.1556775	7.3630690	1.2350555	0.6025715	0.0256303	0.0790511	0.0098615	0.0358402	0.0459349	0.0827314	0.0803186	0.0229299	0.0439966	0.0545021	-4.449
2790	9.7188383	8.3883713	0.6398798	0.6482580	0.0268337	0.0475260	0.0091665	0.0778399	0.0788075	0.0672509	0.0746581	0.0332341	0.0540279	0.0533507	-2.494
2800	9.5225335	8.0616693	0.7574681	1.0979207	0.0511575	0.1652929	0.0035206	0.0602950	0.0785112	0.0285792	0.0495964	0.0521582	0.0561750	0.0579584	-2.494
2810	10.6956254	9.4871543	1.6380211	0.8201892	0.0222661	0.0786147	0.0068645	0.0449531	0.0557266	0.0800721	0.0669573	0.0262017	0.0505799	0.0418551	-2.276
2820	8.7862230	7.6391266	1.4146174	0.6408314	0.0439537	0.1194338	0.0059410	0.0245837	0.0293886	0.0478795	0.0286751	0.0287298	0.0568532	0.0474643	-6.337
2830	10.3731721	8.4664719	1.3152917	1.6036357	0.0169074	0.2567854	0.0250648	0.0232194	0.0312240	0.0443939	0.0454796	0.0149695	0.0521081	0.0451259	-9.926
2840	10.8435828	9.2014854	3.0470469	1.7208004	0.0238256	0.1594419	0.0112913	0.0264927	0.0218098	0.0500021	0.0122142	0.0096979	0.0598152	0.0581975	-3.224
2850	8.7367045	8.2113423	2.0490254	1.0806061	0.0264879	0.0591082	0.0283656	0.0386642	0.0238327	0.0482184	0.0732814	0.0277882	0.0597743	0.0459431	-6.246
2860	10.5980951	10.3263899	1.7867992	1.3589446	0.0210627	0.1083971	0.0065222	0.0329717	0.0260623	0.0292893	0.0428877	0.0220966	0.0401499	0.0501395	-2.305
2870	10.1633372	10.0125811	2.0635593	2.3280125	0.0261801	0.1034109	0.0026280	0.0409826	0.0303974	0.0364055	0.0337056	0.0242681	0.0440037	0.0634363	-2.768
2880	10.4626443	9.9431653	1.4751803	0.5329665	0.0186136	0.1309804	0.0051615	0.0607205	0.0434717	0.0857918	0.0883368	0.0252905	0.0521061	0.0524054	-1.549
2890	11.7495485	8.2324894	1.0244549	0.4577815	0.0264218	0.2033635	0.0052955	0.0759946	0.0916953	0.1115682	0.1296882	0.0164186	0.0470002	0.0551151	-3.433
2900	9.8610050	6.5742451	0.8987439	0.4585771	0.0106637	0.2236438	0.0189020	0.0513130	0.0542894	0.1085394	0.1106013	0.0169897	0.0641470	0.0578224	-5.070
2910	10.8358569	8.8474580	3.7046351	0.8301575	0.0494233	0.1913480	0.0056067	0.0122266	0.0140449	0.0673655	0.0524295	0.0574686	0.0567431	0.0291388	-7.124
2920	12.3618303	11.9040031	1.7007277	0.7672053	0.0378820	0.0773819	0.0080213	0.0359954	0.0241296	0.0689730	0.0627006	0.0356565	0.0373546	0.0324843	-2.333
2930	10.9076004	8.6212055	1.4999608	0.9697115	0.0297423	0.0704177	0.0103298	0.0234323	0.0466412	0.0776862	0.0549641	0.0427959	0.0584811	0.0489792	-4.837
2940	11.4683022	8.5936207	1.9026185	0.6166382	0.0288861	0.2102788	0.0133303	0.0531298	0.0538426	0.0933964	0.0740415	0.0246281	0.0568261	0.0471917	-6.482
